family,strategy,policy,sample_months,months_with_bets,target_reached_months,all_sample_months_reached,funding_failure_months,lowest_month_net,total_net,max_principal_loss,max_drawdown
predictions,fixed:combo:大双:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-299.2,100.0,154.6
predictions,fixed:combo:大双:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-295.8,99.0,153.6
predictions,fixed:combo:小单:pc28_high_regular,target100_bankroll,3,3,0,False,3,-99.6,-298.2,99.6,154.1
predictions,fixed:combo:小单:pc28_high_regular,target100_limit99,3,3,0,False,0,-98.9,-295.78,98.9,153.1
predictions,fixed:combo:小单:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-99.6,-298.4,99.6,115.6
predictions,fixed:combo:小单:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-98.6,-295.4,98.6,114.6
predictions,fixed:combo:小双:pc28_high_regular,target100_bankroll,3,3,2,False,1,-99.8,103.57,99.8,104.8
predictions,fixed:combo:小双:pc28_high_regular,target100_limit99,3,3,2,False,0,-98.8,104.57,98.8,103.8
predictions,fixed:combo:小双:pc28_netdisk_regular,target100_bankroll,3,3,1,False,1,-99.8,44.0,99.8,155.4
predictions,fixed:combo:小双:pc28_netdisk_regular,target100_limit99,3,3,1,False,0,-98.8,45.0,98.8,154.4
predictions,fixed:number:0:pc28_high_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,100.0
predictions,fixed:number:0:pc28_high_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,99.0
predictions,fixed:number:0:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,100.0
predictions,fixed:number:0:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,99.0
predictions,fixed:number:10:pc28_high_regular,target100_bankroll,3,3,1,False,2,-100.0,-97.0,100.0,189.0
predictions,fixed:number:10:pc28_high_regular,target100_limit99,3,3,1,False,0,-99.0,-95.0,99.0,188.0
predictions,fixed:number:10:pc28_netdisk_regular,target100_bankroll,3,3,1,False,2,-100.0,-97.0,100.0,189.0
predictions,fixed:number:10:pc28_netdisk_regular,target100_limit99,3,3,1,False,0,-99.0,-95.0,99.0,188.0
predictions,fixed:number:11:pc28_high_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,116.0
predictions,fixed:number:11:pc28_high_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,115.0
predictions,fixed:number:11:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,116.0
predictions,fixed:number:11:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,115.0
predictions,fixed:number:12:pc28_high_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,119.0
predictions,fixed:number:12:pc28_high_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,118.0
predictions,fixed:number:12:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,119.0
predictions,fixed:number:12:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,118.0
predictions,fixed:number:13:pc28_high_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,136.0
predictions,fixed:number:13:pc28_high_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,135.0
predictions,fixed:number:13:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,136.0
predictions,fixed:number:13:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,135.0
predictions,fixed:number:14:pc28_high_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,194.0
predictions,fixed:number:14:pc28_high_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,193.0
predictions,fixed:number:14:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,194.0
predictions,fixed:number:14:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,193.0
predictions,fixed:number:15:pc28_high_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,135.0
predictions,fixed:number:15:pc28_high_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,134.0
predictions,fixed:number:15:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,135.0
predictions,fixed:number:15:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,134.0
predictions,fixed:number:16:pc28_high_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,159.0
predictions,fixed:number:16:pc28_high_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,158.0
predictions,fixed:number:16:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,159.0
predictions,fixed:number:16:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,158.0
