family,strategy,policy,month,available_bets,bets,net,ending_bankroll,min_bankroll,max_principal_loss,max_drawdown,wins,refunds,losses,stop_reason,last_issue,target_reached,last_bet_time_cn
predictions,fixed:combo:大单:pc28_high_regular,target100_limit99,2026-08,6358,2112,-98.29,1.71,1.71,98.29,165.12,287,197,1628,loss_limit,3466064,False,2026-08-06T08:33:30+08:00
predictions,fixed:combo:大单:pc28_high_regular,target100_limit99,2026-09,2813,1881,103.38,203.38,83.17,16.83,68.69,286,174,1421,profit_target,3478250,True,2026-09-05T15:54:30+08:00
predictions,fixed:combo:大单:pc28_netdisk_regular,target100_bankroll,2026-07,9246,2174,-99.2,0.8,0.8,99.2,134.0,494,0,1680,insufficient_for_one_unit,3456835,False,2026-07-14T09:33:00+08:00
predictions,fixed:combo:大单:pc28_netdisk_regular,target100_bankroll,2026-08,6358,1582,-99.4,0.6,0.6,99.4,135.6,353,0,1229,insufficient_for_one_unit,3465489,False,2026-08-04T22:28:00+08:00
predictions,fixed:combo:大单:pc28_netdisk_regular,target100_bankroll,2026-09,2813,2813,5.2,105.2,63.4,36.6,66.0,671,0,2142,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:combo:大单:pc28_netdisk_regular,target100_limit99,2026-07,9246,2173,-98.2,1.8,1.8,98.2,133.0,494,0,1679,loss_limit,3456834,False,2026-07-14T09:29:30+08:00
predictions,fixed:combo:大单:pc28_netdisk_regular,target100_limit99,2026-08,6358,1577,-98.6,1.4,1.4,98.6,134.8,352,0,1225,loss_limit,3465484,False,2026-08-04T22:10:30+08:00
predictions,fixed:combo:大单:pc28_netdisk_regular,target100_limit99,2026-09,2813,2813,5.2,105.2,63.4,36.6,66.0,671,0,2142,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:combo:大双:pc28_high_regular,target100_bankroll,2026-07,9246,4653,101.34,201.34,15.92,84.08,125.88,603,666,3384,profit_target,3459314,True,2026-07-20T13:27:30+08:00
predictions,fixed:combo:大双:pc28_high_regular,target100_bankroll,2026-08,6358,4828,-99.14,0.86,0.86,99.14,171.98,587,749,3492,insufficient_for_one_unit,3468790,False,2026-08-13T03:25:30+08:00
predictions,fixed:combo:大双:pc28_high_regular,target100_bankroll,2026-09,2813,2813,-7.32,92.68,48.7,51.3,107.58,356,392,2065,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:combo:大双:pc28_high_regular,target100_limit99,2026-07,9246,4653,101.34,201.34,15.92,84.08,125.88,603,666,3384,profit_target,3459314,True,2026-07-20T13:27:30+08:00
predictions,fixed:combo:大双:pc28_high_regular,target100_limit99,2026-08,6358,4827,-98.14,1.86,1.86,98.14,170.98,587,749,3491,loss_limit,3468789,False,2026-08-13T03:22:00+08:00
predictions,fixed:combo:大双:pc28_high_regular,target100_limit99,2026-09,2813,2813,-7.32,92.68,48.7,51.3,107.58,356,392,2065,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:combo:大双:pc28_netdisk_regular,target100_bankroll,2026-07,9246,2364,-99.6,0.4,0.4,99.6,107.0,629,0,1735,insufficient_for_one_unit,3457025,False,2026-07-14T21:11:00+08:00
predictions,fixed:combo:大双:pc28_netdisk_regular,target100_bankroll,2026-08,6358,6346,-100.0,0.0,0.0,100.0,154.6,1735,0,4611,bankrupt,3476357,False,2026-08-31T23:17:00+08:00
predictions,fixed:combo:大双:pc28_netdisk_regular,target100_bankroll,2026-09,2813,1806,-99.6,0.4,0.4,99.6,122.0,474,0,1332,insufficient_for_one_unit,3478175,False,2026-09-05T11:32:00+08:00
predictions,fixed:combo:大双:pc28_netdisk_regular,target100_limit99,2026-07,9246,2359,-98.2,1.8,1.8,98.2,105.6,628,0,1731,loss_limit,3457020,False,2026-07-14T20:53:30+08:00
predictions,fixed:combo:大双:pc28_netdisk_regular,target100_limit99,2026-08,6358,6345,-99.0,1.0,1.0,99.0,153.6,1735,0,4610,loss_limit,3476356,False,2026-08-31T23:13:30+08:00
predictions,fixed:combo:大双:pc28_netdisk_regular,target100_limit99,2026-09,2813,1805,-98.6,1.4,1.4,98.6,121.0,474,0,1331,loss_limit,3478174,False,2026-09-05T11:28:30+08:00
predictions,fixed:combo:小单:pc28_high_regular,target100_bankroll,2026-07,9246,3742,-99.1,0.9,0.9,99.1,143.4,455,558,2729,insufficient_for_one_unit,3458403,False,2026-07-18T07:13:00+08:00
predictions,fixed:combo:小单:pc28_high_regular,target100_bankroll,2026-08,6358,1474,-99.5,0.5,0.5,99.5,114.96,175,188,1111,insufficient_for_one_unit,3465381,False,2026-08-04T15:37:00+08:00
predictions,fixed:combo:小单:pc28_high_regular,target100_bankroll,2026-09,2813,2687,-99.6,0.4,0.4,99.6,154.1,330,350,2007,insufficient_for_one_unit,3479056,False,2026-09-07T16:01:30+08:00
predictions,fixed:combo:小单:pc28_high_regular,target100_limit99,2026-07,9246,3660,-98.9,1.1,1.1,98.9,143.2,445,544,2671,loss_limit,3458321,False,2026-07-18T02:26:00+08:00
predictions,fixed:combo:小单:pc28_high_regular,target100_limit99,2026-08,6358,1465,-98.28,1.72,1.72,98.28,113.74,174,187,1104,loss_limit,3465372,False,2026-08-04T15:05:30+08:00
predictions,fixed:combo:小单:pc28_high_regular,target100_limit99,2026-09,2813,2686,-98.6,1.4,1.4,98.6,153.1,330,350,2006,loss_limit,3479055,False,2026-09-07T15:58:00+08:00
predictions,fixed:combo:小单:pc28_netdisk_regular,target100_bankroll,2026-07,9246,3660,-99.6,0.4,0.4,99.6,107.6,989,0,2671,insufficient_for_one_unit,3458321,False,2026-07-18T02:26:00+08:00
predictions,fixed:combo:小单:pc28_netdisk_regular,target100_bankroll,2026-08,6358,697,-99.4,0.6,0.6,99.4,103.8,166,0,531,insufficient_for_one_unit,3464604,False,2026-08-02T17:11:30+08:00
predictions,fixed:combo:小单:pc28_netdisk_regular,target100_bankroll,2026-09,2813,1669,-99.4,0.6,0.6,99.4,115.6,436,0,1233,insufficient_for_one_unit,3478038,False,2026-09-05T03:32:30+08:00
predictions,fixed:combo:小单:pc28_netdisk_regular,target100_limit99,2026-07,9246,3659,-98.6,1.4,1.4,98.6,106.6,989,0,2670,loss_limit,3458320,False,2026-07-18T02:22:30+08:00
predictions,fixed:combo:小单:pc28_netdisk_regular,target100_limit99,2026-08,6358,696,-98.4,1.6,1.6,98.4,102.8,166,0,530,loss_limit,3464603,False,2026-08-02T17:08:00+08:00
predictions,fixed:combo:小单:pc28_netdisk_regular,target100_limit99,2026-09,2813,1668,-98.4,1.6,1.6,98.4,114.6,436,0,1232,loss_limit,3478037,False,2026-09-05T03:29:00+08:00
predictions,fixed:combo:小双:pc28_high_regular,target100_bankroll,2026-07,9246,814,101.89,201.89,95.0,5.0,43.1,133,74,607,profit_target,3455475,True,2026-07-11T00:34:00+08:00
predictions,fixed:combo:小双:pc28_high_regular,target100_bankroll,2026-08,6358,973,101.48,201.48,75.99,24.01,63.01,156,87,730,profit_target,3464880,True,2026-08-03T09:50:30+08:00
predictions,fixed:combo:小双:pc28_high_regular,target100_bankroll,2026-09,2813,1095,-99.8,0.2,0.2,99.8,104.8,140,109,846,insufficient_for_one_unit,3477464,False,2026-09-03T16:57:30+08:00
