family,strategy,policy,month,available_bets,bets,net,ending_bankroll,min_bankroll,max_principal_loss,max_drawdown,wins,refunds,losses,stop_reason,last_issue
predictions,fixed:big_small:大:pc28_high_regular,target1_limit80,2026-09,2813,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,fixed:big_small:大:pc28_netdisk_regular,bankroll_only,2026-07,9246,8992,-99.82,0.18,0.18,99.82,114.16,4491,0,4501,insufficient_for_one_unit,3463653
predictions,fixed:big_small:大:pc28_netdisk_regular,bankroll_only,2026-08,6358,6348,-99.12,0.88,0.88,99.12,137.44,3156,0,3192,insufficient_for_one_unit,3476359
predictions,fixed:big_small:大:pc28_netdisk_regular,bankroll_only,2026-09,2813,2813,-3.38,96.62,76.86,23.14,44.92,1419,0,1394,sample_end,3479182
predictions,fixed:big_small:大:pc28_netdisk_regular,first_profit_limit20,2026-07,9246,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3454662
predictions,fixed:big_small:大:pc28_netdisk_regular,first_profit_limit20,2026-08,6358,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,fixed:big_small:大:pc28_netdisk_regular,first_profit_limit20,2026-09,2813,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,fixed:big_small:大:pc28_netdisk_regular,first_profit_limit99,2026-07,9246,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3454662
predictions,fixed:big_small:大:pc28_netdisk_regular,first_profit_limit99,2026-08,6358,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,fixed:big_small:大:pc28_netdisk_regular,first_profit_limit99,2026-09,2813,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,fixed:big_small:大:pc28_netdisk_regular,target1_limit20,2026-07,9246,4,1.94,101.94,99.98,0.02,1.0,3,0,1,profit_target,3454665
predictions,fixed:big_small:大:pc28_netdisk_regular,target1_limit20,2026-08,6358,8,1.9,101.9,98.98,1.02,2.0,5,0,3,profit_target,3463915
predictions,fixed:big_small:大:pc28_netdisk_regular,target1_limit20,2026-09,2813,10,1.88,101.88,97.96,2.04,3.02,6,0,4,profit_target,3476379
predictions,fixed:big_small:大:pc28_netdisk_regular,target5_limit20,2026-07,9246,14,5.8,105.8,99.98,0.02,2.0,10,0,4,profit_target,3454675
predictions,fixed:big_small:大:pc28_netdisk_regular,target5_limit20,2026-08,6358,26,5.68,105.68,98.98,1.02,3.06,16,0,10,profit_target,3463933
predictions,fixed:big_small:大:pc28_netdisk_regular,target5_limit20,2026-09,2813,16,5.78,105.78,97.96,2.04,3.02,11,0,5,profit_target,3476385
predictions,fixed:big_small:大:pc28_netdisk_regular,target10_limit20,2026-07,9246,25,10.64,110.64,99.98,0.02,2.02,18,0,7,profit_target,3454686
predictions,fixed:big_small:大:pc28_netdisk_regular,target10_limit20,2026-08,6358,85,10.04,110.04,98.98,1.02,8.06,48,0,37,profit_target,3463992
predictions,fixed:big_small:大:pc28_netdisk_regular,target10_limit20,2026-09,2813,63,10.26,110.26,97.96,2.04,6.22,37,0,26,profit_target,3476432
predictions,fixed:big_small:大:pc28_netdisk_regular,target1_limit80,2026-07,9246,4,1.94,101.94,99.98,0.02,1.0,3,0,1,profit_target,3454665
predictions,fixed:big_small:大:pc28_netdisk_regular,target1_limit80,2026-08,6358,8,1.9,101.9,98.98,1.02,2.0,5,0,3,profit_target,3463915
predictions,fixed:big_small:大:pc28_netdisk_regular,target1_limit80,2026-09,2813,10,1.88,101.88,97.96,2.04,3.02,6,0,4,profit_target,3476379
predictions,fixed:big_small:小:pc28_high_regular,bankroll_only,2026-07,9246,4279,-99.05,0.95,0.95,99.05,151.65,1107,1025,2147,insufficient_for_one_unit,3458940
predictions,fixed:big_small:小:pc28_high_regular,bankroll_only,2026-08,6358,6358,101.7,201.7,51.3,48.7,81.1,1762,1438,3158,sample_end,3476369
predictions,fixed:big_small:小:pc28_high_regular,bankroll_only,2026-09,2813,2813,-24.1,75.9,44.5,55.5,61.25,754,640,1419,sample_end,3479182
predictions,fixed:big_small:小:pc28_high_regular,first_profit_limit20,2026-07,9246,90,0.25,100.25,89.2,10.8,10.8,25,19,46,profit_target,3454751
predictions,fixed:big_small:小:pc28_high_regular,first_profit_limit20,2026-08,6358,2,0.85,100.85,99.0,1.0,1.0,1,0,1,profit_target,3463909
predictions,fixed:big_small:小:pc28_high_regular,first_profit_limit20,2026-09,2813,22,0.95,100.95,92.7,7.3,7.3,7,3,12,profit_target,3476391
predictions,fixed:big_small:小:pc28_high_regular,first_profit_limit99,2026-07,9246,90,0.25,100.25,89.2,10.8,10.8,25,19,46,profit_target,3454751
predictions,fixed:big_small:小:pc28_high_regular,first_profit_limit99,2026-08,6358,2,0.85,100.85,99.0,1.0,1.0,1,0,1,profit_target,3463909
